Time , PM , Status , Running
2014-05-11 16:21:04 , 10 , 0 , 0
2014-05-11 16:21:21 , 12 , 0 , 0
2014-05-11 16:21:36 , 9 , 0 , 0
2014-05-11 16:21:52 , 7 , 0 , 0
2014-05-11 16:22:08 , 2 , 0 , 0
2014-05-11 16:22:23 , 7 , 0 , 0
2014-05-11 16:22:39 , 6 , 0 , 0
2014-05-11 16:22:55 , 12 , 0 , 0
2014-05-11 16:23:11 , 14 , 0 , 0
2014-05-11 16:23:27 , 9 , 0 , 0
2014-05-11 16:23:43 , 11 , 0 , 0
2014-05-11 16:23:58 , 10 , 0 , 0
2014-05-11 16:24:13 , 20 , 0 , 0
2014-05-11 16:24:29 , 5 , 0 , 0
2014-05-11 16:24:45 , 9 , 0 , 0
2014-05-11 16:25:01 , 5 , 0 , 0
2014-05-11 16:25:17 , 9 , 0 , 0
2014-05-11 16:25:32 , 11 , 0 , 0
2014-05-11 16:25:47 , 4 , 0 , 0
2014-05-11 16:26:03 , 3 , 0 , 0
2014-05-11 16:26:18 , 9 , 0 , 0
2014-05-11 16:26:34 , 10 , 0 , 0
2014-05-11 16:26:49 , 3 , 0 , 0
2014-05-11 16:27:05 , 10 , 0 , 0
2014-05-11 16:27:21 , 16 , 0 , 0
2014-05-11 16:27:37 , 7 , 0 , 0
2014-05-11 16:27:52 , 9 , 0 , 0
2014-05-11 16:28:08 , 14 , 0 , 0
2014-05-11 16:28:24 , 14 , 0 , 0
2014-05-11 16:28:39 , 13 , 0 , 0
2014-05-11 16:28:55 , 11 , 0 , 0
2014-05-11 16:29:10 , 9 , 0 , 0
2014-05-11 16:29:27 , 10 , 0 , 0
2014-05-11 16:29:42 , 4 , 0 , 0
2014-05-11 16:29:58 , 17 , 0 , 0
2014-05-11 16:30:13 , 8 , 0 , 0
2014-05-11 16:30:28 , 12 , 0 , 0
2014-05-11 16:30:44 , 9 , 0 , 0
2014-05-11 16:31:00 , 7 , 0 , 0
2014-05-11 16:31:15 , 6 , 0 , 0
2014-05-11 16:31:30 , 7 , 0 , 0
2014-05-11 16:31:46 , 5 , 0 , 0
2014-05-11 16:32:01 , 9 , 0 , 0
2014-05-11 16:32:17 , 11 , 0 , 0
2014-05-11 16:32:33 , 13 , 0 , 0
2014-05-11 16:32:48 , 9 , 0 , 0
2014-05-11 16:33:04 , 7 , 0 , 0
2014-05-11 16:33:20 , 17 , 0 , 0
2014-05-11 16:33:36 , 12 , 0 , 0
2014-05-11 16:33:51 , 5 , 0 , 0
2014-05-11 16:34:07 , 16 , 0 , 0
2014-05-11 16:34:22 , 11 , 0 , 0
2014-05-11 16:34:37 , 17 , 0 , 0
2014-05-11 16:34:53 , 13 , 0 , 0
2014-05-11 16:35:09 , 10 , 0 , 0
2014-05-11 16:35:25 , 8 , 0 , 0
2014-05-11 16:35:40 , 16 , 0 , 0
2014-05-11 16:35:56 , 11 , 0 , 0
2014-05-11 16:36:12 , 8 , 0 , 0
2014-05-11 16:36:28 , 5 , 0 , 0
2014-05-11 16:36:44 , 9 , 0 , 0
2014-05-11 16:37:00 , 6 , 0 , 0
2014-05-11 16:37:15 , 8 , 0 , 0
2014-05-11 16:37:30 , 11 , 0 , 0
2014-05-11 16:37:46 , 7 , 0 , 0
2014-05-11 16:38:01 , 9 , 0 , 0
2014-05-11 16:38:17 , 7 , 0 , 0
2014-05-11 16:38:32 , 7 , 0 , 0
2014-05-11 16:38:47 , 8 , 0 , 0
2014-05-11 16:39:03 , 8 , 0 , 0
2014-05-11 16:39:18 , 17 , 0 , 0
2014-05-11 16:39:34 , 6 , 0 , 0
2014-05-11 16:39:50 , 6 , 0 , 0
2014-05-11 16:40:05 , 13 , 0 , 0
2014-05-11 16:40:21 , 18 , 0 , 0
2014-05-11 16:40:37 , 5 , 0 , 0
2014-05-11 16:40:52 , 5 , 0 , 0
2014-05-11 16:41:08 , 14 , 0 , 0
2014-05-11 16:41:24 , 12 , 0 , 0
2014-05-11 16:41:40 , 14 , 0 , 0
2014-05-11 16:41:56 , 23 , 0 , 0
2014-05-11 16:42:11 , 6 , 0 , 0
2014-05-11 16:42:27 , 19 , 0 , 0
2014-05-11 16:42:42 , 10 , 0 , 0
2014-05-11 16:42:58 , 7 , 0 , 0
2014-05-11 16:43:13 , 0 , 0 , 0
2014-05-11 16:43:29 , 13 , 0 , 0
2014-05-11 16:43:44 , 4 , 0 , 0
2014-05-11 16:44:00 , 4 , 0 , 0
2014-05-11 16:44:15 , 9 , 0 , 0
2014-05-11 16:44:30 , 7 , 0 , 0
2014-05-11 16:44:46 , 8 , 0 , 0
2014-05-11 16:45:01 , 9 , 0 , 0
2014-05-11 16:45:17 , 18 , 0 , 0
2014-05-11 16:45:33 , 14 , 0 , 0
2014-05-11 16:45:49 , 6 , 0 , 0
